"","Species","Haglof_Plot_ID","Haglof_ID","Site","Tag","Health_status","Date","Notes","PlotID","Tree_Dia","Latitude","Longitude","dbh","component","a","b","se","source","ref","leaf.mass","genus","sla","lai","fate"
"26","QURU",110,3464,"UMBS","3464","L","2019-06-10","","D01",91,45.5611866,-84.7062997,9.1,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.19301653567398,"Quercus",14.2,16.9408348065706,"live"
"27","QURU",108,3444,"UMBS","3444","L","2019-06-10","","D01",94,45.5613474,-84.7065567,9.4,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.25066865190948,"Quercus",14.2,17.7594948571146,"live"
"28","POTR",111,3471,"UMBS","3471","L","2019-06-10","","D01",99,45.5612415,-84.7063663,9.9,"FL",0.0114,2.0261,NA,"Upper Great Lakes","Perala and Alban, 1994",1.18620928494363,"Populus",15.89,18.8488655377542,"live"
"29","QURU",108,3435,"UMBS","3435","L","2019-06-10","","D01",101,45.561342,-84.7067288,10.1,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.3884454966946,"Quercus",14.2,19.7159260530633,"live"
"30","QURU",108,3445,"UMBS","3445","L","2019-06-10","","D01",101,45.5612683,-84.7066055,10.1,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.3884454966946,"Quercus",14.2,19.7159260530633,"live"
"31","QURU",108,3440,"UMBS","3440","L","2019-06-10","","D01",101,45.5612923,-84.7066639,10.1,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.3884454966946,"Quercus",14.2,19.7159260530633,"live"
"32","ACRU",101,3357,"UMBS","3357","L","2019-06-09","","D01",90,45.5617097,-84.7079297,9,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.09961915460115,"Acer",19,20.8927639374219,"live"
"33","ACRU",103,3385,"UMBS","3385","L","2019-06-09","shares base with 3384","D01",92,45.5615449,-84.7076382,9.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.13747559095579,"Acer",19,21.61203622816,"live"
"34","PIST",106,3414,"UMBS","3414","L","2019-06-10","first tree mapped 6/10","D01",287,45.5614397,-84.7071034,28.7,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",1.73794493994647,"Pinus",12.5,21.7243117493309,"live"
"35","ACRU",104,3391,"UMBS","3391","D","2019-06-09","Shares base with 1WA2","D01",95,45.561558,-84.7074007,9.5,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.19509707634791,"Acer",19,22.7068444506103,"live"
"36","QURU",108,3437,"UMBS","3437","L","2019-06-10","","D01",112,45.5613705,-84.7066884,11.2,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.61381393186887,"Quercus",14.2,22.916157832538,"live"
"37","ACRU",107,10,"UMBS","1EA3","L","2019-06-10","0010 on Haglof","D01",96,45.5614548,-84.7068673,9.6,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.214525200963,"Acer",19,23.0759788182971,"live"
"38","ACRU",104,5,"UMBS","1WA2","L","2019-06-09","0005 on Haglof; shares base with 3391","D01",97,45.5615596,-84.7073983,9.7,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.23406291816607,"Acer",19,23.4471954451554,"live"
"39","QURU",109,14,"UMBS","1EQ2","L","2019-06-10","0014 on Haglof","D01",116,45.5613282,-84.7064693,11.6,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.69835162732249,"Quercus",14.2,24.1165931079794,"live"
"40","POGR",104,3392,"UMBS","3392","D","2019-06-09","","D01",164,45.5615068,-84.7074391,16.4,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",1.56723282239909,"Populus",15.89,24.9033295479216,"live"
"41","ACRU",104,3403,"UMBS","3403","D","2019-06-09","shares base with 3402","D01",101,45.5614039,-84.7072494,10.1,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.31329940479073,"Acer",19,24.9526886910238,"live"
"42","QURU",108,3439,"UMBS","3439","L","2019-06-10","","D01",119,45.5613225,-84.7066723,11.9,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.76263368786156,"Quercus",14.2,25.0293983676341,"live"
"43","ACRU",103,3382,"UMBS","3382","L","2019-06-09","","D01",102,45.5615638,-84.7076871,10.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.33337742001258,"Acer",19,25.334170980239,"live"
"44","QURU",108,3436,"UMBS","3436","L","2019-06-10","","D01",122,45.5613214,-84.7067236,12.2,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.82765740764398,"Quercus",14.2,25.9527351885445,"live"
"45","QURU",108,3442,"UMBS","3442","L","2019-06-10","","D01",123,45.5613474,-84.7066154,12.3,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.84949505517585,"Quercus",14.2,26.2628297834971,"live"
"46","QURU",108,13,"UMBS","1EQ1","L","2019-06-10","0013 on Haglof","D01",124,45.5613422,-84.7064968,12.4,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.87141363453685,"Quercus",14.2,26.5740736104233,"live"
"47","ACRU",103,3380,"UMBS","3380","D","2019-06-09","shares base with 3379","D01",108,45.5615494,-84.7077053,10.8,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.45606718787461,"Acer",19,27.6652765696176,"live"
"48","QURU",108,3446,"UMBS","3446","L","2019-06-10","","D01",129,45.5612668,-84.7065942,12.9,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.98220818843591,"Quercus",14.2,28.14735627579,"live"
"49","FAGR",101,3368,"UMBS","3368","L","2019-06-09","2 stems; shares base with 3369","D01",88,45.5615884,-84.7077806,8.8,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.807506489912035,"Fagus",35,28.2627271469212,"live"
"50","BEPA",101,3350,"UMBS","3350","L","2019-06-09","","D01",111,45.5617953,-84.7077744,11.1,"FL",0.0132,1.9505,NA,"Upper Great Lakes","Perala and Alban, 1994",1.44369815456477,"Betula",20.82,30.0577955780385,"live"
"51","FAGR",101,3351,"UMBS","3351","L","2019-06-09","multiple stems from base; shares with 3352","D01",93,45.5617915,-84.7077601,9.3,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.883636551404782,"Fagus",35,30.9272792991674,"live"
