"Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","CsMchSD","HsMchSD","CrMchSD","HrMchSD","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","Filename","Plot","Species","Sample","Filename_date","Timestamp","Comments"
5,"16:31:41",187,0,2.31,0.021,216,0.289,1.33,25.84,6,1.42,1,2.84,21.43,25.84,20.06,402.92,400.01,20.119,20.459,77.3,78.6,500.2,2000,0,98.47,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can03_07222018","D01E","acru","can03","07222018",2018-07-22 16:28:42,"16:28:44 ; "
1,"16:39:36",257,0,5.81,0.0477,196,0.624,1.27,25.69,6,1.42,1,2.84,21.49,25.69,20.06,407.3,400.04,19.983,20.716,76.46,79.27,500.4,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.7,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can04_07222018","D01E","acru","can04","07222018",2018-07-22 16:35:24,"16:35:26 ; "
2,"16:39:37",258.5,0,5.78,0.0478,197,0.625,1.27,25.69,6,1.42,1,2.84,21.49,25.69,20.06,407.28,400.05,19.983,20.717,76.46,79.27,500.4,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.7,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can04_07222018","D01E","acru","can04","07222018",2018-07-22 16:35:24,"16:35:26 ; "
3,"16:39:38",259.5,0,5.78,0.0478,198,0.625,1.27,25.68,6,1.42,1,2.84,21.49,25.68,20.06,407.28,400.05,19.984,20.718,76.46,79.27,500.4,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.3,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can04_07222018","D01E","acru","can04","07222018",2018-07-22 16:35:24,"16:35:26 ; "
4,"16:39:39",260.5,0,5.82,0.0479,196,0.625,1.27,25.67,6,1.42,1,2.84,21.49,25.67,20.06,407.32,400.03,19.984,20.717,76.46,79.27,500.4,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.3,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can04_07222018","D01E","acru","can04","07222018",2018-07-22 16:35:24,"16:35:26 ; "
5,"16:39:40",261.5,0,5.87,0.0479,195,0.627,1.27,25.68,6,1.42,1,2.84,21.49,25.68,20.06,407.39,400.05,19.984,20.72,76.46,79.27,500.4,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.3,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can04_07222018","D01E","acru","can04","07222018",2018-07-22 16:35:24,"16:35:26 ; "
1,"16:44:11",202,0,5.74,0.0421,173,0.628,1.45,26.57,6,1.42,1,2.84,21.51,26.57,20.06,407.57,400.39,20.003,20.741,76.47,79.29,500.2,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can05_07222018","D01E","acru","can05","07222018",2018-07-22 16:40:56,"16:40:57 ; "
2,"16:44:12",203,0,5.71,0.0421,174,0.628,1.45,26.57,6,1.42,1,2.84,21.51,26.57,20.06,407.53,400.38,20.003,20.741,76.46,79.28,500.3,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can05_07222018","D01E","acru","can05","07222018",2018-07-22 16:40:56,"16:40:57 ; "
3,"16:44:13",204,0,5.65,0.0422,177,0.629,1.45,26.56,6,1.42,1,2.84,21.51,26.56,20.05,407.47,400.39,20.001,20.74,76.46,79.28,500.3,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can05_07222018","D01E","acru","can05","07222018",2018-07-22 16:40:56,"16:40:57 ; "
4,"16:44:15",206,0,5.63,0.042,177,0.628,1.45,26.58,6,1.42,1,2.84,21.51,26.58,20.05,407.43,400.37,19.999,20.737,76.45,79.27,500.1,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can05_07222018","D01E","acru","can05","07222018",2018-07-22 16:40:56,"16:40:57 ; "
5,"16:44:17",207.5,0,5.63,0.0419,176,0.627,1.45,26.59,6,1.42,1,2.84,21.51,26.59,20.05,407.43,400.37,19.997,20.734,76.44,79.26,499.9,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can05_07222018","D01E","acru","can05","07222018",2018-07-22 16:40:56,"16:40:57 ; "
1,"16:48:32",189.5,0,2.5,0.0176,163,0.296,1.62,27.21,6,1.42,1,2.84,21.51,27.21,20.05,403.21,400.07,19.98,20.327,76.37,77.7,500.2,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can06_07222018","D01E","acru","can06","07222018",2018-07-22 16:45:29,"16:45:30 ; "
2,"16:48:33",190.5,0,2.51,0.0176,163,0.297,1.62,27.21,6,1.42,1,2.84,21.51,27.21,20.05,403.2,400.05,19.979,20.327,76.37,77.71,500.2,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can06_07222018","D01E","acru","can06","07222018",2018-07-22 16:45:29,"16:45:30 ; "
