sep=,
Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
104, 30.00,Plot,0,,0,0,0,0,0,0,0,0,0,45.5614595,-84.7073307
104, 30.00,03387,   1, 128,   0,1756,1921,1766,-16.18,8.19,18.13,296.83,2,45.5615373,-84.7075349,3387
104, 30.00,03388,   1, 255,   0,1387,1584,1450,-14.34,3.03,14.65,281.93,1,45.5614905,-84.7075132,3388
104, 30.00,03389,   1, 300,   0,1368,1560,1424,-13.99,3.41,14.40,283.70,6,45.5614938,-84.7075086,3389
104, 30.00,03390,   1, 142,   0,1497,1631,1435,-10.39,11.07,15.18,316.81,5,45.5615617,-84.7074597,3390
104, 30.00,03391,   1,  95,   0,1231,1321,1120,-5.77,10.79,12.23,331.84,3,45.5615580,-84.7074007,3391
104, 30.00,00005,   1,  97,   0,1240,1326,1127,-5.59,10.96,12.30,333.00,4,45.5615596,-84.7073983,5
104, 30.00,00006,   1, 298,   0,1190,1328,1139,-8.78,8.28,12.08,313.32,-2,45.5615363,-84.7074402,6
104, 30.00,03392,   1, 164,   0, 947,1112, 944,-8.60,5.01,9.96,300.19,2,45.5615068,-84.7074391,3392
104, 30.00,03393,   1, 357,   0, 711, 890, 741,-7.18,2.66,7.66,290.33,-1,45.5614853,-84.7074217,3393
104, 30.00,03394,   1, 153,   0, 971,1172,1090,-10.69,-0.97,10.74,264.83,-4,45.5614536,-84.7074680,3394
104, 30.00,03395,   1, 166,   0,1019,1222,1138,-11.17,-0.97,11.21,265.04,0,45.5614537,-84.7074741,3395
104, 30.00,03396,   1, 297,   0, 454, 548, 352,-2.48,3.60,4.37,325.44,1,45.5614925,-84.7073612,3396
104, 30.00,03398,   1, 345,   0, 552, 400, 383,3.41,2.58,4.27,52.86,5,45.5614819,-84.7072862,3398
104, 30.00,03399,   1, 302,   0, 600, 443, 434,3.92,2.71,4.77,55.41,3,45.5614829,-84.7072795,3399
104, 30.00,00007,   1, 383,   0, 762, 631, 576,4.39,4.66,6.40,43.30,-7,45.5615003,-84.7072729,7
104, 30.00,03400,   1, 127,   0, 537, 447, 641,2.31,-4.83,5.36,154.49,-3,45.5614155,-84.7073030,3400
104, 30.00,03401,   1, 271,   0, 699, 507, 669,5.81,-1.97,6.14,108.70,3,45.5614403,-84.7072570,3401
104, 30.00,03402,   1, 148,   0, 915, 767, 962,6.32,-6.09,8.78,133.94,-1,45.5614031,-84.7072521,3402
104, 30.00,03403,   1, 101,   0, 924, 773, 966,6.53,-6.00,8.86,132.58,-2,45.5614039,-84.7072494,3403
104, 30.00,03404,   1, 247,   0,1202,1062,1258,8.04,-8.45,11.66,136.42,1,45.5613815,-84.7072309,3404
104, 30.00,03405,   1, 184,   0,1476,1353,1554,8.73,-11.65,14.56,143.15,0,45.5613525,-84.7072232,3405
104, 30.00,03406,   1, 138,   0,1534,1408,1608,9.28,-11.96,15.14,142.19,-5,45.5613495,-84.7072162,3406
104, 30.00,03407,   1,  89,   0,1458,1326,1525,9.24,-11.00,14.36,139.97,1,45.5613582,-84.7072165,3407
104, 30.00,03408,   1, 156,   0,1477,1340,1539,9.65,-10.78,14.47,138.16,2,45.5613601,-84.7072111,3408
104, 30.00,03409,   1, 219,   0,1265,1069,1198,11.60,-1.64,11.72,98.03,-4,45.5614418,-84.7071828,3409
104, 30.00,03410,   1, 342,   0,1694,1571,1772,10.08,-13.27,16.66,142.79,3,45.5613376,-84.7072066,3410
104, 30.00,03411,   1, 228,   0,1730,1610,1832,9.34,-14.40,17.16,147.03,-1,45.5613276,-84.7072164,3411
104, 30.00,03412,   1, 100,   0,1677,1547,1747,10.48,-12.82,16.56,140.74,-9,45.5613415,-84.7072013,3412
104, 30.00,03413,   1, 197,   0,1760,1580,1773,14.23,-9.27,16.98,123.08,1,45.5613725,-84.7071520,3413
