sep=,
Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
133, 30.00,Plot,0,,0,0,0,0,0,0,0,0,0,45.5613540,-84.7039031
133, 30.00,03800,   1, 141,   0,1674,1687,1844,-1.01,-17.29,17.32,183.33,5,45.5611987,-84.7039223,3800
133, 30.00,03801,   1, 109,   0,1366,1356,1529,0.77,-14.12,14.14,176.88,3,45.5612268,-84.7038985,3801
133, 30.00,03802,   1, 150,   0,1048,1036,1207,0.79,-10.90,10.93,175.86,9,45.5612557,-84.7038970,3802
133, 30.00,03803,   1, 266,   0, 928, 912,1082,0.94,-9.60,9.64,174.43,13,45.5612674,-84.7038947,3803
133, 30.00,03804,   1, 328,   0, 921, 883,1060,1.97,-9.21,9.42,167.93,-17,45.5612707,-84.7038813,3804
133, 30.00,03805,   1, 284,   0, 984, 949,1123,1.92,-9.90,10.08,169.03,-13,45.5612645,-84.7038822,3805
133, 30.00,03806,   1, 154,   0, 370, 440, 555,-1.31,-4.25,4.45,197.06,5,45.5613161,-84.7039214,3806
133, 30.00,03846,   1, 125,   0, 705, 737, 882,-1.07,-7.62,7.70,187.96,5,45.5612857,-84.7039196,3846
133, 30.00,03807,   1, 286,   0,1011,1019, 835,-0.56,9.44,9.45,356.61,4,45.5614390,-84.7039068,3807
133, 30.00,03808,   1, 197,   0, 818, 773, 620,1.62,7.12,7.30,12.82,2,45.5614176,-84.7038798,3808
133, 30.00,03809,   1,  85,   0,1143,1125, 957,0.95,10.70,10.75,5.06,4,45.5614500,-84.7038871,3809
133, 30.00,03810,   1, 177,   0,1383,1364,1197,1.17,13.06,13.11,5.10,5,45.5614712,-84.7038834,3810
133, 30.00,03811,   1, 165,   0,1664,1575,1462,7.00,13.98,15.63,26.60,0,45.5614779,-84.7038084,3811
133, 30.00,03812,   1, 119,   0, 753, 658, 858,3.42,-6.70,7.52,152.99,5,45.5612928,-84.7038618,3812
133, 30.00,03813,   1, 114,   0,1312,1212,1431,6.00,-11.71,13.16,152.87,1,45.5612471,-84.7038306,3813
133, 30.00,03814,   1, 380,   0,1386,1315,1506,5.08,-12.91,13.88,158.52,7,45.5612365,-84.7038428,3814
133, 30.00,03815,   1,  99,   0,1760,1677,1880,7.08,-16.25,17.72,156.45,3,45.5612060,-84.7038184,3815
133, 30.00,00056,   1, 146,   0, 877, 830,1015,2.12,-8.78,9.03,166.43,1,45.5612745,-84.7038792,56
133, 30.00,00057,   1, 298,   0,1054, 895,1091,7.69,-6.43,10.02,129.90,-1,45.5612942,-84.7038070,57
133, 30.00,00058,   1, 342,   0,1300,1103,1253,11.64,-3.15,12.06,105.12,7,45.5613227,-84.7037552,58
133, 30.00,00059,   1, 317,   0, 961, 810, 779,6.45,5.34,8.37,50.38,8,45.5614003,-84.7038186,59
133, 30.00,00060,   1, 122,   0,1994,1808,1801,15.81,9.91,18.66,57.94,6,45.5614390,-84.7036970,60
133, 30.00,00061,   1, 294,   0,2123,1948,1932,16.36,11.34,19.91,55.26,3,45.5614518,-84.7036895,61
