sep=,
Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
138, 30.00,Plot,0,,0,0,0,0,0,0,0,0,0,45.5614350,-84.7029858
138, 30.00,03906,   1, 416,   0, 504, 704, 617,-5.88,-0.43,5.89,265.83,5,45.5614326,-84.7030612,3906
138, 30.00,03907,   1, 251,   0, 641, 828, 805,-6.83,-3.04,7.48,246.01,9,45.5614094,-84.7030744,3907
138, 30.00,03908,   1, 249,   0, 817, 937,1019,-5.06,-7.61,9.14,213.62,5,45.5613678,-84.7030534,3908
138, 30.00,03909,   1, 398,   0, 804, 908,1003,-4.18,-7.83,8.88,208.12,5,45.5613656,-84.7030422,3909
138, 30.00,03910,   1, 351,   0, 969,1045,1154,-3.82,-9.71,10.44,201.49,-18,45.5613486,-84.7030383,3910
138, 30.00,03912,   1, 173,   0, 735, 667, 855,2.53,-7.02,7.46,160.16,11,45.5613712,-84.7029559,3912
138, 30.00,03911,   1, 365,   0, 852, 725, 921,5.19,-6.32,8.18,140.61,7,45.5613768,-84.7029216,3911
138, 30.00,03913,   1,  89,   0,1082, 931,1120,7.86,-6.87,10.44,131.14,-15,45.5613712,-84.7028876,3913
138, 30.00,03914,   1, 440,   0,1210,1103,1294,6.57,-9.87,11.86,146.37,-16,45.5613445,-84.7029054,3914
138, 30.00,03915,   1,  82,   0,1632,1582,1780,3.97,-16.15,16.63,166.20,6,45.5612887,-84.7029409,3915
138, 30.00,03916,   1, 220,   0,1663,1610,1799,4.54,-16.22,16.84,164.34,-11,45.5612879,-84.7029335,3916
138, 30.00,03917,   1, 114,   0,1767,1711,1906,4.92,-17.24,17.93,164.08,-12,45.5612786,-84.7029291,3917
138, 30.00,03922,   1, 160,   0, 696, 798, 610,-4.07,5.65,6.96,324.27,-16,45.5614868,-84.7030358,3922
138, 30.00,03923,   1, 329,   0, 604, 679, 489,-2.65,5.13,5.77,332.63,-18,45.5614817,-84.7030179,3923
138, 30.00,03924,   1, 158,   0, 909, 944, 756,-1.82,8.47,8.66,347.85,8,45.5615116,-84.7030060,3924
138, 30.00,03925,   1,  98,   0,1177,1180,1004,-0.24,11.19,11.19,358.75,-12,45.5615357,-84.7029848,3925
138, 30.00,03926,   1,  82,   0,1108,1101, 937,0.33,10.47,10.48,1.78,-17,45.5615290,-84.7029778,3926
138, 30.00,03927,   1,  86,   0,1230,1177,1042,3.25,11.02,11.49,16.43,-14,45.5615332,-84.7029401,3927
138, 30.00,03928,   1,  80,   0, 934, 834, 741,4.51,7.03,8.35,32.66,11,45.5614970,-84.7029255,3928
138, 30.00,03929,   1, 220,   0, 842, 747, 649,3.79,6.33,7.38,30.91,7,45.5614909,-84.7029349,3929
138, 30.00,03930,   1, 278,   0, 810, 716, 612,3.44,6.11,7.01,29.41,4,45.5614890,-84.7029395,3930
138, 30.00,03931,   1, 127,   0, 765, 580, 635,6.30,1.81,6.56,73.99,3,45.5614496,-84.7029045,3931
138, 30.00,03932,   1, 302,   0,1173,1041, 991,7.48,7.48,10.57,45.00,9,45.5615003,-84.7028873,3932
138, 30.00,03933,   1, 127,   0,1369,1260,1175,7.23,10.39,12.66,34.83,4,45.5615266,-84.7028894,3933
138, 30.00,00070,   1, 334,   0, 487, 330, 340,3.17,1.87,3.68,59.48,12,45.5614509,-84.7029445,70
138, 30.00,00071,   1, 242,   0, 610, 415, 556,5.09,-0.89,5.17,99.93,8,45.5614256,-84.7029210,71
138, 30.00,00072,   1, 220,   0, 731, 646, 830,3.25,-6.52,7.28,153.50,-21,45.5613755,-84.7029466,72
