sep=,
Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
127, 30.00,Plot,0,,0,0,0,0,0,0,0,0,0,45.5615301,-84.7052011
127, 30.00,03685,   1, 159,   0,1437,1638,1546,-15.36,-0.64,15.37,267.61,9,45.5615283,-84.7053980,3685
127, 30.00,03686,   1, 125,   0,1391,1595,1501,-14.92,-0.57,14.93,267.83,7,45.5615289,-84.7053924,3686
127, 30.00,03687,   1, 110,   0, 820,1024, 941,-9.21,-0.84,9.25,264.80,4,45.5615249,-84.7053193,3687
127, 30.00,03688,   1, 207,   0, 788, 971, 963,-7.92,-4.28,9.00,241.62,6,45.5614937,-84.7053041,3688
127, 30.00,03689,   1, 342,   0, 820, 853, 667,-1.60,7.50,7.67,347.95,-14,45.5615980,-84.7052189,3689
127, 30.00,00043,   1,  84,   0, 753, 919, 748,-6.90,4.12,8.03,300.84,7,45.5615689,-84.7052880,43
127, 30.00,00044,   1, 403,   0, 547, 527, 361,0.33,4.60,4.61,4.14,-12,45.5615714,-84.7051952,44
127, 30.00,00045,   1, 309,   0, 604, 434, 454,4.31,2.18,4.83,63.12,9,45.5615486,-84.7051452,45
127, 30.00,00046,   1, 148,   0, 455, 255, 400,3.55,-0.61,3.60,99.67,7,45.5615237,-84.7051559,46
127, 30.00,00047,   1,  45,   0, 513, 344, 536,3.71,-2.75,4.62,126.55,8,45.5615044,-84.7051546,47
127, 30.00,00048,   1,  90,   0, 802, 663, 861,5.19,-5.73,7.73,137.82,6,45.5614772,-84.7051368,48
127, 30.00,00049,   1, 390,   0,1628,1533,1731,7.63,-14.24,16.15,151.83,8,45.5614001,-84.7051087,49
127, 30.00,00050,   1, 331,   0,1770,1671,1869,8.73,-15.26,17.58,150.21,-12,45.5613906,-84.7050949,50
127, 30.00,03704,   1, 313,   0,1372,1571,1507,-14.43,-2.94,14.72,258.46,10,45.5615073,-84.7053869,3704
127, 30.00,03690,   1, 231,   0, 801, 778, 647,1.04,7.29,7.36,8.12,-35,45.5615954,-84.7051852,3690
127, 30.00,03691,   1, 118,   0,1005, 891, 813,5.46,7.16,9.00,37.31,8,45.5615931,-84.7051287,3691
127, 30.00,03692,   1, 203,   0, 880, 772, 688,4.47,6.30,7.73,35.35,10,45.5615856,-84.7051416,3692
127, 30.00,03693,   1, 414,   0, 595, 529, 396,1.57,4.62,4.87,18.73,12,45.5615712,-84.7051794,3693
127, 30.00,03694,   1, 161,   0, 332, 374, 507,-0.62,-3.87,3.92,189.15,8,45.5614954,-84.7052106,3694
127, 30.00,03695,   1, 112,   0, 639, 724, 827,-2.96,-6.62,7.25,204.09,-16,45.5614713,-84.7052415,3695
127, 30.00,03696,   1, 127,   0, 648, 755, 845,-3.70,-6.45,7.44,209.85,7,45.5614730,-84.7052509,3696
127, 30.00,03697,   1, 260,   0, 957,1093,1154,-6.85,-8.06,10.58,220.39,10,45.5614594,-84.7052919,3697
127, 30.00,03698,   1, 209,   0, 946,1069,1147,-6.06,-8.53,10.46,215.42,7,45.5614550,-84.7052819,3698
127, 30.00,03699,   1, 300,   0,1124,1206,1319,-4.59,-11.14,12.05,202.38,4,45.5614311,-84.7052640,3699
127, 30.00,03700,   1, 217,   0, 536, 382, 576,3.66,-3.22,4.88,131.32,10,45.5615002,-84.7051554,3700
127, 30.00,03701,   1,  83,   0, 553, 407, 604,3.61,-3.70,5.18,135.70,8,45.5614959,-84.7051562,3701
127, 30.00,03702,   1, 125,   0, 556, 383, 572,4.14,-2.78,4.99,123.91,8,45.5615040,-84.7051492,3702
