sep=,
Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
125, 30.00,Plot,0,,0,0,0,0,0,0,0,0,0,45.5617381,-84.7054935
125, 30.00,03616,   1, 262,   0,1678,1716,1526,-3.39,15.97,16.33,348.03,11,45.5618826,-84.7055310,3616
125, 30.00,03622,   1, 125,   0,1060,1134, 938,-4.21,9.53,10.42,336.15,10,45.5618250,-84.7055440,3622
125, 30.00,03623,   1,  91,   0, 991,1086, 888,-5.04,8.49,9.87,329.29,8,45.5618158,-84.7055549,3623
125, 30.00,03624,   1, 119,   0, 930,1024, 826,-4.72,7.93,9.23,329.22,7,45.5618107,-84.7055511,3624
125, 30.00,00037,   1, 317,   0, 777, 857, 657,-3.38,6.70,7.51,333.27,8,45.5617993,-84.7055343,37
125, 30.00,00038,   1, 297,   0, 316, 515, 440,-4.05,-0.50,4.08,262.91,9,45.5617346,-84.7055455,38
125, 30.00,00039,   1, 306,   0, 456, 290, 319,3.04,1.45,3.36,64.54,-14,45.5617504,-84.7054541,39
125, 30.00,00040,   1,  90,   0, 768, 569, 692,6.72,-0.58,6.74,94.94,10,45.5617312,-84.7054077,40
125, 30.00,00041,   1, 258,   0,1553,1386,1569,12.34,-8.43,14.94,124.34,10,45.5616591,-84.7053386,41
125, 30.00,00042,   1, 140,   0,1921,1752,1943,15.16,-10.96,18.70,125.87,7,45.5616357,-84.7053035,42
125, 30.00,03625,   1,  90,   0,1013,1143, 952,-7.13,7.50,10.35,316.44,8,45.5618074,-84.7055821,3625
125, 30.00,03626,   1, 108,   0,1129,1268,1071,-8.05,8.27,11.54,315.76,12,45.5618145,-84.7055936,3626
125, 30.00,03627,   1,  86,   0,1003, 998, 825,0.18,9.41,9.41,1.09,6,45.5618227,-84.7054878,3627
125, 30.00,03628,   1, 354,   0, 351, 546, 516,-4.19,-1.74,4.54,247.43,5,45.5617235,-84.7055479,3628
125, 30.00,03629,   1, 258,   0, 325, 503, 508,-3.59,-2.40,4.32,236.31,-11,45.5617175,-84.7055404,3629
125, 30.00,03630,   1, 200,   0, 421, 604, 593,-4.69,-2.47,5.30,242.16,13,45.5617171,-84.7055544,3630
125, 30.00,03631,   1, 276,   0, 929,1082,1125,-7.45,-7.17,10.34,226.10,3,45.5616756,-84.7055915,3631
125, 30.00,03632,   1, 188,   0,1162,1277,1362,-6.92,-10.54,12.61,213.29,4,45.5616451,-84.7055860,3632
125, 30.00,03633,   1, 365,   0, 482, 513, 656,-0.54,-5.30,5.33,185.80,5,45.5616906,-84.7055023,3633
125, 30.00,03634,   1, 128,   0, 618, 492, 691,3.61,-4.73,5.95,142.67,6,45.5616946,-84.7054490,3634
125, 30.00,03635,   1, 212,   0,1368,1313,1175,3.66,12.26,12.80,16.64,8,45.5618475,-84.7054421,3635
125, 30.00,03636,   1, 247,   0,1219,1093,1026,7.14,8.43,11.05,40.25,6,45.5618121,-84.7053990,3636
125, 30.00,03637,   1, 338,   0,1042, 889, 860,7.12,5.79,9.18,50.91,4,45.5617883,-84.7054002,3637
125, 30.00,03638,   1, 133,   0, 645, 521, 457,3.58,3.98,5.35,41.90,3,45.5617731,-84.7054463,3638
125, 30.00,03639,   1, 324,   0, 490, 304, 383,3.67,0.78,3.75,78.04,10,45.5617442,-84.7054462,3639
125, 30.00,03640,   1, 113,   0,1080, 885, 951,9.49,2.04,9.70,77.87,6,45.5617540,-84.7053713,3640
125, 30.00,03641,   1, 243,   0,1299,1176,1137,8.83,8.10,11.98,47.49,6,45.5618087,-84.7053775,3641
125, 30.00,03642,   1, 224,   0,1203,1006,1084,10.77,1.71,10.91,80.98,6,45.5617507,-84.7053550,3642
125, 30.00,03643,   1, 303,   0,1753,1555,1632,16.19,2.48,16.38,81.31,8,45.5617562,-84.7052853,3643
125, 30.00,03644,   1,  90,   0,1496,1297,1393,13.94,0.62,13.95,87.44,9,45.5617401,-84.7053149,3644
125, 30.00,03645,   1,  81,   0,1522,1323,1421,14.21,0.51,14.22,87.92,8,45.5617391,-84.7053114,3645
125, 30.00,03646,   1, 311,   0,1604,1407,1516,14.98,-0.43,14.99,91.63,8,45.5617305,-84.7053018,3646
125, 30.00,03647,   1, 278,   0,1263,1065,1209,11.40,-2.63,11.70,102.99,7,45.5617115,-84.7053485,3647
125, 30.00,03648,   1, 291,   0, 797, 651, 848,5.36,-5.29,7.53,134.63,7,45.5616892,-84.7054268,3648
125, 30.00,03649,   1, 234,   0,1116,1077,1261,2.28,-11.21,11.44,168.49,7,45.5616368,-84.7054684,3649
125, 30.00,03650,   1, 267,   0,1212,1122,1320,5.37,-10.82,12.08,153.62,8,45.5616394,-84.7054288,3650
125, 30.00,03651,   1, 258,   0,1278,1192,1391,5.41,-11.57,12.78,154.94,3,45.5616326,-84.7054285,3651
125, 30.00,03652,   1, 235,   0,1506,1391,1590,8.46,-12.25,14.89,145.35,9,45.5616258,-84.7053896,3652
125, 30.00,03653,   1, 296,   0,1510,1398,1585,8.80,-12.00,14.88,143.73,-21,45.5616280,-84.7053852,3653
125, 30.00,03654,   1, 231,   0,1578,1473,1668,8.35,-13.24,15.65,147.78,15,45.5616169,-84.7053915,3654
125, 30.00,03655,   1, 125,   0,1714,1640,1837,6.28,-16.10,17.28,158.68,3,45.5615917,-84.7054190,3655
125, 30.00,03656,   1, 142,   0,1968,1939,2109,3.08,-19.79,20.03,171.15,9,45.5615593,-84.7054613,3656
125, 30.00,03657,   1, 272,   0,1422,1240,1411,12.12,-5.91,13.49,116.00,8,45.5616818,-84.7053405,3657
125, 30.00,03658,   1, 292,   0,1614,1446,1632,12.79,-8.81,15.53,124.57,6,45.5616556,-84.7053330,3658
125, 30.00,03659,   1,  90,   0,1564,1380,1535,13.97,-5.28,14.94,110.70,-14,45.5616871,-84.7053166,3659
125, 30.00,03660,   1,  86,   0,1599,1414,1569,14.28,-5.42,15.28,110.79,-14,45.5616857,-84.7053126,3660
125, 30.00,03661,   1, 231,   0,1683,1504,1675,14.36,-7.34,16.13,117.09,7,45.5616684,-84.7053123,3661
125, 30.00,03662,   1, 213,   0,2039,1838,1935,19.31,0.80,19.32,87.63,2,45.5617404,-84.7052460,3662
125, 30.00,03663,   1, 247,   0,1990,1790,1913,18.80,-2.12,18.92,96.45,7,45.5617142,-84.7052536,3663
