sep=,
Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
135, 30.00,Plot,0,,0,0,0,0,0,0,0,0,0,45.5614705,-84.7036934
135, 30.00,03842,   1, 248,   0,1482,1525,1328,-3.24,14.00,14.37,346.98,8,45.5615972,-84.7037298,3842
135, 30.00,03843,   1, 217,   0,1340,1295,1148,2.89,12.22,12.56,13.31,8,45.5615796,-84.7036519,3843
135, 30.00,03844,   1,  76,   0, 893, 878, 708,0.60,8.23,8.26,4.14,6,45.5615444,-84.7036828,3844
135, 30.00,03845,   1, 100,   0, 649, 643, 467,0.11,5.82,5.82,1.06,11,45.5615228,-84.7036899,3845
135, 30.00,03847,   1, 102,   0, 908, 834, 707,3.07,7.54,8.14,22.16,8,45.5615374,-84.7036514,3847
135, 30.00,03848,   1, 120,   0, 942, 843, 745,4.36,7.19,8.41,31.25,10,45.5615340,-84.7036349,3848
135, 30.00,03849,   1, 127,   0,1324,1213,1128,7.05,9.96,12.20,35.31,10,45.5615582,-84.7035995,3849
135, 30.00,03850,   1, 195,   0,1698,1619,1492,6.10,14.77,15.98,22.46,7,45.5616017,-84.7036099,3850
135, 30.00,03851,   1, 337,   0, 606, 432, 624,4.49,-2.96,5.38,123.34,3,45.5614427,-84.7036370,3851
135, 30.00,03852,   1, 218,   0, 792, 593, 731,6.87,-1.17,6.97,99.68,-10,45.5614581,-84.7036059,3852
135, 30.00,00062,   1, 292,   0, 533, 543, 357,-0.41,4.63,4.65,354.89,10,45.5615122,-84.7036970,62
135, 30.00,00063,   1, 278,   0, 472, 417, 601,1.37,-4.62,4.82,163.47,6,45.5614285,-84.7036776,63
