Layer Title, Color, Specimen ID
Layer 1, Blue, 1EP1_01_20190806

Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,900 ms,10,3

Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data
345.21991,1471.12421875,28.5714285714252%
345.435498861008,1477.95078125,0%
345.651076862504,1495.69984375,0%
345.866644002202,3908.8896875,58.1818181818186%
346.082200277813,3930.7346875,100%
346.297745687047,4287.08125,0%
346.513280227618,5327.449375,0%
346.728803897236,3779.86765625,0%
346.944316693613,3533.42875,0%
347.15981861446,5324.71875,100%
347.37530965749,3863.89938988095,29.6774193548417%
347.590789820413,4043.11290922619,10.3448275862031%
347.806259100942,4216.41007440476,30.8429118774008%
348.021717496787,4328.78829613095,37.0018975332035%
348.237165005661,4319.9787797619,38.5714285714289%
348.452601625276,4395.42854910714,33.7393422655298%
348.668027353342,4454.33203125,37.2924648786729%
348.883442187571,4367.73220982143,42.34693877551%
349.098846125676,4358.33755952381,55.1724137931087%
349.314239165367,4451.30883928571,47.1947194719445%
349.529621304356,4424.55521577381,22.1757322175726%
349.744992540355,4424.10011160714,11.7353308364613%
349.960352871075,4439.60616071429,10.1995565410195%
350.175702294228,4509.43214285714,0%
350.391040807526,4511.61014136905,0%
350.606368408679,4480.63055059524,0%
350.821685095401,4519.02183779762,0%
351.036990865402,4577.53523065476,0%
351.252285716393,4592.45614583333,0%
351.467569646088,4503.09319196429,0%
351.682842652196,4488.95245535714,0%
351.89810473243,4553.64226190476,0%
352.113355884501,4558.2258110119,0%
352.328596106122,4486.90448660714,0%
352.543825395002,4479.7203422619,0%
352.759043748855,4559.16852678571,0%
352.974251165392,4532.12233630952,0%
353.189447642324,4449.91101934524,0%
353.404633177362,4477.99744791667,2.45836637589204%
353.619807768219,4504.36098214286,0%
353.834971412607,4459.33817708333,0%
354.050124108236,4397.60654761905,0%
354.265265852818,4345.52962797619,0%
354.480396644065,4382.52309523809,0.260642919199664%
354.695516479689,4410.73955357143,0%
354.9106253574,4356.64717261905,2.23367697594978%
355.125723274911,4340.62100446429,5.45905707196184%
355.340810229934,4400.17463541667,10.7438016528934%
355.555886220179,4403.58791666667,16.2925416364936%
355.770951243359,4348.42279017857,20.7587687902661%
355.986005297185,4375.14390625,13.9314369073682%
356.201048379369,4432.45452380952,11.9117647058846%
356.416080487621,4437.85075892857,16.2724014336947%
