Layer Title, Color, Specimen ID
Layer 1, Blue, 1EA3_03_20190618

Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,900 ms,10,3

Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data
345.21991,1554.40828125,0%
345.435498861008,1527.7846875,0%
345.651076862504,1527.10203125,0%
345.866644002202,4066.58328125,100%
346.082200277813,4059.0740625,0%
346.297745687047,4517.8190625,0%
346.513280227618,5674.23875,0%
346.728803897236,3861.10375,100%
346.944316693613,3449.46203125,0%
347.15981861446,5570.475,100%
347.37530965749,4006.08693452381,100%
347.590789820413,4195.83286458333,100%
347.806259100942,4380.24757440476,100%
348.021717496787,4495.71400297619,100%
348.237165005661,4485.63669642857,100%
348.452601625276,4568.79072916667,100%
348.668027353342,4623.66328869048,100%
348.883442187571,4526.72610119048,100%
349.098846125676,4519.80201636905,100%
349.314239165367,4623.37072172619,100%
349.529621304356,4601.9158110119,100%
349.744992540355,4604.09380952381,100%
349.960352871075,4622.91561755952,100%
350.175702294228,4708.37767857143,100%
350.391040807526,4712.44110863095,100%
350.606368408679,4677.36558035714,100%
350.821685095401,4716.6020610119,100%
351.036990865402,4781.84449404762,100%
351.252285716393,4801.31645089286,100%
351.467569646088,4706.55726190476,100%
351.682842652196,4689.8484375,100%
351.89810473243,4757.13883928571,100%
352.113355884501,4761.07223958333,100%
352.328596106122,4682.27420386905,95.0549450549445%
352.543825395002,4678.60086309524,93.7524870672511%
352.759043748855,4766.11089285714,100%
352.974251165392,4736.75667410714,100%
353.189447642324,4652.26983630952,100%
353.404633177362,4686.07757440476,100%
353.619807768219,4722.29086309524,100%
353.834971412607,4687.99551339286,100%
354.050124108236,4617.45436755952,100%
354.265265852818,4563.26446428571,100%
354.480396644065,4607.63712053571,100%
354.695516479689,4637.41393601191,100%
354.9106253574,4576.00738095238,95.0922380786624%
355.125723274911,4558.81094494048,94.7888283378752%
355.340810229934,4631.23752232143,100%
355.555886220179,4637.60898065476,100%
355.770951243359,4572.23651785714,98.8187752564507%
355.986005297185,4605.78419642857,100%
356.201048379369,4673.72474702381,100%
356.416080487621,4679.64110119048,100%
356.631101619655,4599.7378125,100%
356.846111773181,4604.22383928572,98.7714285714299%
357.061110945911,4665.30531994048,100%
357.276099135557,4665.17529017857,99.3401154797906%
357.49107633983,4615.69896577381,92.7621075039912%
357.706042556441,4622.8180952381,91.5289256198346%
357.920997783104,4659.09639880952,90.5632040050073%
358.135942017528,4714.97668898809,86.3625945450381%
358.350875257425,4668.75110863095,78.0788719982373%
358.565797500508,4681.68906994048,76.4681030840725%
358.780708744488,4752.6528125,76.7312448474849%
358.995608987076,4802.38919642857,73.0515463917522%
359.210498225985,4707.56499255952,67.1758793969841%
359.425376458925,4699.56816220238,63.9262389550518%
359.640243683608,4776.25321428571,63.4877873563215%
359.855099897745,4767.93130952381,59.1642602344152%
360.06994509905,4687.86548363095,52.049571020019%
360.284779285232,4682.24169642857,49.0224900779065%
360.499602454003,4724.24130952381,48.7575924903375%
360.714414603076,4755.31842261905,42.3394377095694%
360.929215730162,4680.51880208333,36.3856296117098%
361.144005832972,4677.36558035714,34.1920903954803%
361.358784909218,4750.24726190476,35.6831472620948%
361.573552956612,4725.83417410714,32.7787680728859%
361.788309972865,4646.09342261905,29.7172852012155%
362.003055955688,4618.20203869048,27.2376212134215%
362.217790902794,4686.11008184524,27.0296391752577%
362.432514811894,4704.54180059524,24.8763198700437%
362.647227680699,4631.59510416667,21.993804562095%
362.861929506922,4630.00223958333,22.2141632599236%
363.076620288273,4689.8484375,22.7936153033973%
363.291300022465,4702.78639880952,21.6992772783359%
363.505968707208,4633.38301339286,20.0730532956997%
363.720626340215,4624.50848214286,19.2663910836692%
363.935272919197,4712.70116815476,18.1296103767511%
364.149908441866,4705.87460565476,17.0388280472196%
364.364532905934,4627.27161458333,15.2092456322514%
364.579146309111,4652.00977678572,14.9218481621437%
364.79374864911,4717.38223958333,15.0931651242894%
365.008339923641,4722.87599702381,14.2925392149056%
365.222920130418,4646.90610863095,14.0735610957216%
365.437489267151,4652.62741815476,13.5122113923581%
365.652047331552,4723.20107142857,13.7589928057554%
365.866594321332,4713.12376488095,12.9943700388154%
366.081130234203,4674.53743303571,11.6952679881273%
366.295655067877,4662.76973958333,11.4416324367299%
366.510168820066,4723.94874255952,12.0769205949731%
366.72467148848,4680.45378720238,11.9483213881554%
366.939163070832,4610.01016369048,11.1571525759168%
367.153643564833,4593.56139880952,11.0531898772541%
367.368112968194,4675.31761160714,10.9930344704413%
367.582571278628,4664.65517113095,10.6743377821909%
367.797018493846,4594.34157738095,10.1726618705035%
368.011454611559,4554.8125297619,10.1401179941003%
368.225879629479,4626.39391369048,11.0357152830137%
368.440293545318,4606.95446428571,11.4939991722996%
368.654696356787,4546.26307291667,11.0607384749836%
