Layer Title, Color, Specimen ID
Layer 1, Blue, 2WA1_01_20190701

Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,900 ms,10,3

Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data
345.21991,1558.50421875,18.1818181818205%
345.435498861008,1550.31234375,0%
345.651076862504,1527.10203125,24.0963855421691%
345.866644002202,4034.4984375,100%
346.082200277813,3996.2696875,100%
346.297745687047,4549.22125,100%
346.513280227618,5629.1834375,0%
346.728803897236,3830.38421875,0%
346.944316693613,3538.89,0%
347.15981861446,5500.8440625,100%
347.37530965749,4017.00943452381,0%
347.590789820413,4208.77082589286,0%
347.806259100942,4392.56789434524,0%
348.021717496787,4509.46465029762,0%
348.237165005661,4500.94770089286,0%
348.452601625276,4588.78280505952,0%
348.668027353342,4642.8751860119,0%
348.883442187571,4550.16396577381,0%
349.098846125676,4547.30331101191,0%
349.314239165367,4646.2884672619,0%
349.529621304356,4629.9047172619,0%
349.744992540355,4630.26229910714,0%
349.960352871075,4649.40918154762,0%
350.175702294228,4737.21177827381,0%
350.391040807526,4741.27520833333,0%
350.606368408679,4702.81890625,0%
350.821685095401,4745.95627976191,0%
351.036990865402,4814.74202380952,0%
351.252285716393,4835.41675595238,0%
351.467569646088,4739.90989583333,0%
351.682842652196,4724.92396577381,0%
351.89810473243,4793.09206845238,0%
352.113355884501,4794.94499255952,0%
352.328596106122,4720.01534226191,0%
352.543825395002,4717.93486607143,0%
352.759043748855,4804.11209077381,0%
352.974251165392,4777.55351190476,0%
353.189447642324,4694.78956845238,0%
353.404633177362,4723.16856398809,0%
353.619807768219,4761.07223958333,0%
353.834971412607,4729.63754464286,0%
354.050124108236,4659.90908482143,0%
354.265265852818,4602.79351190476,0%
354.480396644065,4646.71106398809,0%
354.695516479689,4676.22781994048,0%
354.9106253574,4615.04881696428,0%
355.125723274911,4596.32453125,0%
355.340810229934,4663.58242559524,0%
355.555886220179,4670.6040327381,0%
355.770951243359,4604.80897321429,0%
355.986005297185,4633.18796875,0%
356.201048379369,4699.69819196429,0%
356.416080487621,4707.98758928571,0%
356.631101619655,4628.5394047619,0%
356.846111773181,4631.66011904762,0%
357.061110945911,4691.40879464286,0%
357.276099135557,4696.51246279762,0%
357.49107633983,4644.98816964286,0%
357.706042556441,4651.6196875,0%
357.920997783104,4695.79729910714,0%
358.135942017528,4749.66212797619,0%
358.350875257425,4702.81890625,0%
358.565797500508,4714.03397321429,0%
358.780708744488,4782.52715029762,0%
358.995608987076,4833.92141369048,0%
359.210498225985,4740.72258184524,0%
359.425376458925,4735.91148065476,0%
359.640243683608,4814.61199404762,0%
359.855099897745,4807.52537202381,0%
360.06994509905,4727.00444196429,0%
360.284779285232,4721.250625,0%
360.499602454003,4764.09543154762,0%
360.714414603076,4798.00069196429,0%
360.929215730162,4724.1112797619,1.77273533061525%
361.144005832972,4724.53387648809,1.99816068890537%
361.358784909218,4796.96045386905,1.85701021355642%
361.573552956612,4771.60465029762,0.435603310584866%
361.788309972865,4688.483125,0.452549814252297%
362.003055955688,4661.82702380952,0.875656742556906%
362.217790902794,4728.33724702381,0.700770847932738%
362.432514811894,4742.47798363095,0.761001433770748%
362.647227680699,4673.10710565476,1.59247195077818%
362.861929506922,4670.96161458333,1.46965789089495%
363.076620288273,4734.44864583333,0.655512262204969%
363.291300022465,4754.60325892857,1.1635423400128%
363.505968707208,4671.74179315476,1.53194263363748%
363.720626340215,4663.45239583333,1.38915685896213%
363.935272919197,4752.55529017857,1.10467023952764%
364.149908441866,4755.87104910714,1.8021459078441%
364.364532905934,4682.69680059524,3.13579678194205%
364.579146309111,4710.52316964286,3.26531887635543%
364.79374864911,4778.13864583333,2.81372931743794%
365.008339923641,4789.15866815476,2.81270586887397%
365.222920130418,4715.789375,3.2556733886478%
365.437489267151,4723.39611607143,3.35322384749442%
365.652047331552,4794.8474702381,3.3363779367738%
365.866594321332,4790.65401041667,3.29947993327458%
366.081130234203,4757.59394345238,3.87747833313534%
366.295655067877,4751.38502232143,3.94370768802753%
366.510168820066,4816.39990327381,3.53479314327129%
366.72467148848,4781.74697172619,3.6028469121613%
366.939163070832,4716.76459821429,3.80109402592937%
367.153643564833,4698.78798363095,3.98704630525302%
367.368112968194,4784.51010416667,3.78964287922181%
367.582571278628,4778.69127232143,4.20493772331786%
367.797018493846,4706.32970982143,4.36417162293876%
368.011454611559,4681.13644345238,4.35430723364188%
368.225879629479,4751.93764880952,4.23401874927666%
368.440293545318,4734.70870535714,3.9237411171391%
368.654696356787,4668.16597470238,3.91158715440075%
368.869088061598,4675.28510416667,3.90255794764086%
369.083468657462,4733.14834821429,3.69590338092223%
369.297838142092,4768.77650297619,4.06522100826355%
369.512196513198,4708.47520089286,4.59609258474963%
369.726543768492,4693.8143452381,4.78364503116983%
369.940879905687,4783.01476190476,4.56641897580444%
370.155204922492,4783.04726934524,4.43441559627998%
370.369518816621,4724.30632440476,4.55211308869842%
370.583821585784,4756.68373511905,4.57169033440225%
370.798113227694,4771.14954613095,4.39856373429074%
371.012393740062,4832.55610119048,4.63007072446769%
371.226663120598,4798.19573660714,4.9392712550607%
371.440921367016,4799.30098958333,4.91451012355739%
371.655168477027,4893.50755208333,4.70337716676631%
371.869404448341,4884.86057291667,4.80933676633648%
372.083629278672,4836.39197916667,4.54476364189093%
372.29784296573,4834.24648809524,4.54841677528179%
372.512045507227,4912.88198660714,4.05499612703335%
372.726236900874,4918.99338541667,4.04795541951186%
372.940417144384,4863.60070684524,4.57227722772284%
